timestamp,scenario_name,run_type,scale_factor,completed_vehicles,avg_travel_time,avg_wait_time,throughput_vpm,total_system_wait_time
2025-08-17 19:12:42,arterial_road,fixed,2.0,80,112.14,13.76,10.67,1100.66
2025-08-17 19:12:43,arterial_road,fixed,4.0,150,139.32,20.30,20.00,3045.32
2025-08-17 19:12:44,arterial_road,fixed,6.0,230,192.81,80.96,30.67,18621.66
2025-08-17 19:15:06,arterial_road,optimized,2.0,80,122.88,13.21,10.67,1056.56
2025-08-17 19:17:38,arterial_road,optimized,4.0,150,131.86,16.59,20.00,2488.99
2025-08-17 19:20:46,arterial_road,optimized,6.0,230,172.93,61.17,30.67,14068.40
2025-08-17 19:20:47,arterial_road,adaptive,2.0,80,126.81,13.73,10.67,1098.68
2025-08-17 19:20:48,arterial_road,adaptive,4.0,150,143.39,16.98,20.00,2547.10
2025-08-17 19:20:50,arterial_road,adaptive,6.0,230,168.10,59.66,30.67,13720.66
2025-08-17 19:28:05,4x4_grid,fixed,2.0,80,34.19,13.69,10.67,1095.34
2025-08-17 19:28:06,4x4_grid,fixed,4.0,150,34.43,14.18,20.00,2126.85
2025-08-17 19:28:07,4x4_grid,fixed,6.0,230,35.97,13.51,30.67,3107.14
2025-08-17 19:30:26,4x4_grid,optimized,2.0,80,29.10,7.06,10.67,564.70
2025-08-17 19:32:50,4x4_grid,optimized,4.0,150,23.72,6.32,20.00,947.59
2025-08-17 19:35:52,4x4_grid,optimized,6.0,230,77.44,50.56,30.67,11628.78
2025-08-17 19:35:55,4x4_grid,adaptive,2.0,80,30.69,10.17,10.67,813.38
2025-08-17 19:35:58,4x4_grid,adaptive,4.0,150,28.16,7.66,20.00,1149.48
2025-08-17 19:36:00,4x4_grid,adaptive,6.0,230,29.57,8.45,30.67,1943.96
